Año;Trimestre;Activos
2002;T1;1066,2
2002;T2;1074,3
2002;T3;1086,1
2002;T4;1106,6
2003;T1;1122,4
2003;T2;1131,4
2003;T3;1112,6
2003;T4;1131
2004;T1;1132,4
2004;T2;1145,3
2004;T3;1155,5
2004;T4;1181
2005;T1;1174,5
2005;T2;1182,7
2005;T3;1170,5
2005;T4;1212,2
2006;T1;1218,1
2006;T2;1223,6
2006;T3;1227,2
2006;T4;1266,8
2007;T1;1271,2
2007;T2;1276,2
2007;T3;1278,1
2007;T4;1303,8
2008;T1;1314,8
2008;T2;1308,6
2008;T3;1295,6
2008;T4;1310,6
2009;T1;1306,8
2009;T2;1300,1
2009;T3;1288,2
2009;T4;1300,8
2010;T1;1299,7
2010;T2;1306,1
2010;T3;1282,7
2010;T4;1295,3
2011;T1;1294,9
2011;T2;1300,1
2011;T3;1297,7
2011;T4;1301,1
2012;T1;1285,6
2012;T2;1277,8
2012;T3;1285,1
2012;T4;1294,8
2013;T1;1292,3
2013;T2;1274,3
2013;T3;1255,6
2013;T4;1266,3
2014;T1;1260,6
2014;T2;1261,2
2014;T3;1232,4
2014;T4;1249
2015;T1;1247,9
2015;T2;1242,6
2015;T3;1250,1
2015;T4;1253,6
2016;T1;1259,9
2016;T2;1245,7
2016;T3;1246,3
2016;T4;1269,2
2017;T1;1254,7
2017;T2;1247,4
2017;T3;1266,9
2017;T4;1267,6
2018;T1;1244,4
2018;T2;1269,7
2018;T3;1253,9
2018;T4;1249
