Año;Mes;Viajeros
2010;1;2351307
2010;2;2943090
2010;3;3543609
2010;4;3877568
2010;5;4042148
2010;6;4386962
2010;7;5002604
2010;8;5599468
2010;9;4307901
2010;10;4186876
2010;11;2990886
2010;12;3000911
2011;1;2358110
2011;2;2994483
2011;3;3380332
2011;4;4088344
2011;5;3746751
2011;6;4430197
2011;7;5093546
2011;8;5615032
2011;9;4424189
2011;10;3909150
2011;11;2891744
2011;12;2893004
2012;1;2390674
2012;2;2898921
2012;3;3344772
2012;4;3877984
2012;5;3610640
2012;6;4164269
2012;7;4578014
2012;8;5213797
2012;9;4020495
2012;10;3551117
2012;11;2730498
2012;12;2644571
2013;1;2107452
2013;2;2543898
2013;3;3596941
2013;4;3107991
2013;5;3678011
2013;6;4109160
2013;7;4622498
2013;8;5426618
2013;9;4055351
2013;10;3529310
2013;11;2962040
2013;12;2830104
2014;1;2188084
2014;2;2739686
2014;3;3161425
2014;4;3840663
2014;5;3901968
2014;6;4270431
2014;7;4798578
2014;8;5684286
2014;9;4271468
2014;10;3801189
2014;11;2962597
2014;12;3062373
2015;1;2393392
2015;2;2878965
2015;3;3490443
2015;4;4031142
2015;5;4102767
2015;6;4587906
2015;7;5175659
2015;8;5945162
2015;9;4504038
2015;10;4137843
2015;11;3055877
2015;12;3220404
2016;1;2618022
2016;2;3191750
2016;3;4110169
2016;4;3755761
2016;5;4197064
2016;6;4723090
2016;7;5504356
2016;8;5993466
2016;9;4672782
2016;10;4358634
2016;11;3186298
2016;12;3231853
2017;1;2655015
2017;2;3157734
2017;3;3706176
2017;4;4688384
2017;5;4177945
2017;6;4785681
2017;7;5453609
2017;8;5970747
2017;9;4762659
2017;10;4302582
2017;11;3340928
2017;12;3461708
2018;1;2743159
2018;2;3208522
2018;3;4136756
2018;4;4154873
2018;5;4250360
2018;6;4868754
2018;7;5380698
2018;8;6181557
2018;9;4840570
2018;10;4354922
2018;11;3551431
2018;12;3494108
